idx;x [m];y [m];z [m];Reff [m]
485;-3.8357;4.2997;-0.3624;0.124
486;-3.8357;4.2997;-0.3458;0.107
487;-3.8357;4.2997;-0.3291;0.09
488;-3.8357;4.2997;-0.3124;0.074
489;-3.8357;4.2997;-0.2958;0.059
490;-3.8357;4.2997;-0.2791;0.05
491;-3.8357;4.2997;-0.2624;0.044
492;-3.8357;4.2997;-0.2458;0.042
493;-3.8357;4.2997;-0.2291;0.046
494;-3.8357;4.2997;-0.2124;0.052
495;-3.8357;4.2997;-0.1958;0.064
496;-3.8275;4.2869;-0.4458;0.193
497;-3.8275;4.2869;-0.4291;0.175
498;-3.8275;4.2869;-0.4124;0.157
499;-3.8275;4.2869;-0.3958;0.139
500;-3.8275;4.2869;-0.3791;0.121
501;-3.8275;4.2869;-0.3624;0.104
502;-3.8275;4.2869;-0.3458;0.086
503;-3.8275;4.2869;-0.3291;0.069
504;-3.8275;4.2869;-0.3124;0.053
505;-3.8275;4.2869;-0.2958;0.044
506;-3.8275;4.2869;-0.2791;0.034
507;-3.8275;4.2869;-0.2624;0.031
508;-3.8275;4.2869;-0.2458;0.038
509;-3.8275;4.2869;-0.2291;0.048
510;-3.8275;4.2869;-0.2124;0.059
511;-3.8275;4.2869;-0.1958;0.075
512;-3.8193;4.2742;-0.4458;0.175
513;-3.8193;4.2742;-0.4291;0.157
514;-3.8193;4.2742;-0.4124;0.139
515;-3.8193;4.2742;-0.3958;0.121
516;-3.8193;4.2742;-0.3791;0.103
517;-3.8193;4.2742;-0.3624;0.085
518;-3.8193;4.2742;-0.3458;0.067
519;-3.8193;4.2742;-0.3291;0.051
520;-3.8193;4.2742;-0.3124;0.041
521;-3.8193;4.2742;-0.2958;0.027
522;-3.8193;4.2742;-0.2791;0.016
523;-3.8193;4.2742;-0.2624;0.035
524;-3.8193;4.2742;-0.2458;0.046
525;-3.8193;4.2742;-0.2291;0.057
526;-3.8193;4.2742;-0.2124;0.074
527;-3.8193;4.2742;-0.1958;0.091
528;-3.8111;4.2614;-0.4458;0.159
529;-3.8111;4.2614;-0.4291;0.141
530;-3.8111;4.2614;-0.4124;0.122
531;-3.8111;4.2614;-0.3958;0.105
532;-3.8111;4.2614;-0.3791;0.087
533;-3.8111;4.2614;-0.3624;0.069
534;-3.8111;4.2614;-0.3458;0.053
535;-3.8111;4.2614;-0.3291;0.043
536;-3.8111;4.2614;-0.3124;0.032
537;-3.8111;4.2614;-0.2958;0.027
538;-3.8111;4.2614;-0.2791;0.038
539;-3.8111;4.2614;-0.2624;0.048
540;-3.8111;4.2614;-0.2458;0.06
541;-3.8111;4.2614;-0.2291;0.077
542;-3.8111;4.2614;-0.2124;0.094
543;-3.8111;4.2614;-0.1958;0.111
544;-3.8029;4.2486;-0.4458;0.144
545;-3.8029;4.2486;-0.4291;0.126
546;-3.8029;4.2486;-0.4124;0.108
547;-3.8029;4.2486;-0.3958;0.091
548;-3.8029;4.2486;-0.3791;0.074
549;-3.8029;4.2486;-0.3624;0.057
550;-3.8029;4.2486;-0.3458;0.048
551;-3.8029;4.2486;-0.3291;0.041
552;-3.8029;4.2486;-0.3124;0.039
553;-3.8029;4.2486;-0.2958;0.044
554;-3.8029;4.2486;-0.2791;0.052
555;-3.8029;4.2486;-0.2624;0.066
556;-3.8029;4.2486;-0.2458;0.082
557;-3.8029;4.2486;-0.2291;0.099
558;-3.8029;4.2486;-0.2124;0.115
559;-3.8029;4.2486;-0.1958;0.132
560;-3.7947;4.2359;-0.4458;0.132
561;-3.7947;4.2359;-0.4291;0.115
562;-3.7947;4.2359;-0.4124;0.098
563;-3.7947;4.2359;-0.3958;0.082
564;-3.7947;4.2359;-0.3791;0.067
565;-3.7947;4.2359;-0.3624;0.054
566;-3.7947;4.2359;-0.3458;0.049
567;-3.7947;4.2359;-0.3291;0.048
568;-3.7947;4.2359;-0.3124;0.051
569;-3.7947;4.2359;-0.2958;0.06
570;-3.7947;4.2359;-0.2791;0.073
571;-3.7947;4.2359;-0.2624;0.088
572;-3.7947;4.2359;-0.2458;0.104
573;-3.7947;4.2359;-0.2291;0.121
574;-3.7947;4.2359;-0.2124;0.138
575;-3.7947;4.2359;-0.1958;0.155
576;-3.7865;4.2231;-0.4458;0.122
577;-3.7865;4.2231;-0.4291;0.106
578;-3.7865;4.2231;-0.4124;0.091
579;-3.7865;4.2231;-0.3958;0.077
580;-3.7865;4.2231;-0.3791;0.067
581;-3.7865;4.2231;-0.3624;0.059
582;-3.7865;4.2231;-0.3458;0.057
