idx;x [m];y [m];z [m];Reff [m]
290;-3.4848;3.7532;-0.3743;NaN
291;-3.4848;3.7532;-0.3386;NaN
292;-3.4848;3.7532;-0.3029;NaN
293;-3.4848;3.7532;-0.2672;NaN
294;-3.4848;3.7532;-0.2315;NaN
295;-3.4848;3.7532;-0.1958;NaN
296;-3.4682;3.7274;-0.4458;NaN
297;-3.4682;3.7274;-0.41;NaN
298;-3.4682;3.7274;-0.3743;NaN
299;-3.4682;3.7274;-0.3386;NaN
300;-3.4682;3.7274;-0.3029;NaN
301;-3.4682;3.7274;-0.2672;NaN
302;-3.4682;3.7274;-0.2315;NaN
303;-3.4682;3.7274;-0.1958;NaN
304;-3.4516;3.7015;-0.4458;NaN
305;-3.4516;3.7015;-0.41;NaN
306;-3.4516;3.7015;-0.3743;NaN
307;-3.4516;3.7015;-0.3386;NaN
308;-3.4516;3.7015;-0.3029;NaN
309;-3.4516;3.7015;-0.2672;NaN
310;-3.4516;3.7015;-0.2315;NaN
311;-3.4516;3.7015;-0.1958;NaN
312;-3.435;3.6757;-0.4458;NaN
313;-3.435;3.6757;-0.41;NaN
314;-3.435;3.6757;-0.3743;NaN
315;-3.435;3.6757;-0.3386;NaN
316;-3.435;3.6757;-0.3029;NaN
317;-3.435;3.6757;-0.2672;NaN
318;-3.435;3.6757;-0.2315;NaN
319;-3.435;3.6757;-0.1958;NaN
320;-3.4184;3.6499;-0.4458;NaN
321;-3.4184;3.6499;-0.41;NaN
322;-3.4184;3.6499;-0.3743;NaN
323;-3.4184;3.6499;-0.3386;NaN
324;-3.4184;3.6499;-0.3029;NaN
325;-3.4184;3.6499;-0.2672;NaN
326;-3.4184;3.6499;-0.2315;NaN
327;-3.4184;3.6499;-0.1958;NaN
328;-3.4019;3.6241;-0.4458;NaN
329;-3.4019;3.6241;-0.41;NaN
330;-3.4019;3.6241;-0.3743;NaN
331;-3.4019;3.6241;-0.3386;NaN
332;-3.4019;3.6241;-0.3029;NaN
333;-3.4019;3.6241;-0.2672;NaN
334;-3.4019;3.6241;-0.2315;NaN
335;-3.4019;3.6241;-0.1958;NaN
336;-3.3853;3.5983;-0.4458;NaN
337;-3.3853;3.5983;-0.41;NaN
338;-3.3853;3.5983;-0.3743;NaN
339;-3.3853;3.5983;-0.3386;NaN
340;-3.3853;3.5983;-0.3029;NaN
341;-3.3853;3.5983;-0.2672;NaN
342;-3.3853;3.5983;-0.2315;NaN
343;-3.3853;3.5983;-0.1958;NaN
344;-3.3687;3.5725;-0.4458;NaN
345;-3.3687;3.5725;-0.41;NaN
346;-3.3687;3.5725;-0.3743;NaN
347;-3.3687;3.5725;-0.3386;NaN
348;-3.3687;3.5725;-0.3029;NaN
349;-3.3687;3.5725;-0.2672;NaN
350;-3.3687;3.5725;-0.2315;NaN
351;-3.3687;3.5725;-0.1958;NaN
352;-3.3521;3.5466;-0.4458;NaN
353;-3.3521;3.5466;-0.41;NaN
354;-3.3521;3.5466;-0.3743;NaN
355;-3.3521;3.5466;-0.3386;NaN
356;-3.3521;3.5466;-0.3029;NaN
357;-3.3521;3.5466;-0.2672;NaN
358;-3.3521;3.5466;-0.2315;NaN
359;-3.3521;3.5466;-0.1958;NaN
360;-4.0546;4.6999;-0.4458;NaN
361;-4.0546;4.6999;-0.41;NaN
362;-4.0546;4.6999;-0.3743;NaN
363;-4.0546;4.6999;-0.3386;NaN
364;-4.0546;4.6999;-0.3029;NaN
365;-4.0546;4.6999;-0.2672;NaN
366;-4.0546;4.6999;-0.2315;NaN
367;-4.0546;4.6999;-0.1958;NaN
368;-4.038;4.6741;-0.4458;NaN
369;-4.038;4.6741;-0.41;NaN
370;-4.038;4.6741;-0.3743;NaN
371;-4.038;4.6741;-0.3386;NaN
372;-4.038;4.6741;-0.3029;NaN
373;-4.038;4.6741;-0.2672;NaN
374;-4.038;4.6741;-0.2315;NaN
375;-4.038;4.6741;-0.1958;NaN
376;-4.0215;4.6483;-0.4458;NaN
377;-4.0215;4.6483;-0.41;NaN
378;-4.0215;4.6483;-0.3743;NaN
379;-4.0215;4.6483;-0.3386;NaN
380;-4.0215;4.6483;-0.3029;NaN
381;-4.0215;4.6483;-0.2672;NaN
382;-4.0215;4.6483;-0.2315;NaN
383;-4.0215;4.6483;-0.1958;NaN
384;-4.0049;4.6225;-0.4458;NaN
385;-4.0049;4.6225;-0.41;NaN
386;-4.0049;4.6225;-0.3743;NaN
387;-4.0049;4.6225;-0.3386;NaN
388;-4.0049;4.6225;-0.3029;NaN
389;-4.0049;4.6225;-0.2672;NaN
390;-4.0049;4.6225;-0.2315;NaN
391;-4.0049;4.6225;-0.1958;NaN
392;-3.9883;4.5966;-0.4458;NaN
393;-3.9883;4.5966;-0.41;NaN
394;-3.9883;4.5966;-0.3743;NaN
395;-3.9883;4.5966;-0.3386;NaN
396;-3.9883;4.5966;-0.3029;NaN
397;-3.9883;4.5966;-0.2672;NaN
398;-3.9883;4.5966;-0.2315;NaN
399;-3.9883;4.5966;-0.1958;NaN
400;-3.9717;4.5708;-0.4458;NaN
401;-3.9717;4.5708;-0.41;NaN
402;-3.9717;4.5708;-0.3743;NaN
403;-3.9717;4.5708;-0.3386;NaN
404;-3.9717;4.5708;-0.3029;NaN
405;-3.9717;4.5708;-0.2672;0.538
406;-3.9717;4.5708;-0.2315;0.516
407;-3.9717;4.5708;-0.1958;0.496
408;-3.9552;4.545;-0.4458;NaN
409;-3.9552;4.545;-0.41;NaN
410;-3.9552;4.545;-0.3743;NaN
411;-3.9552;4.545;-0.3386;0.535
412;-3.9552;4.545;-0.3029;0.51
413;-3.9552;4.545;-0.2672;0.486
414;-3.9552;4.545;-0.2315;0.464
415;-3.9552;4.545;-0.1958;0.443
416;-3.9386;4.5192;-0.4458;NaN
417;-3.9386;4.5192;-0.41;NaN
418;-3.9386;4.5192;-0.3743;0.512
419;-3.9386;4.5192;-0.3386;0.485
420;-3.9386;4.5192;-0.3029;0.458
421;-3.9386;4.5192;-0.2672;0.433
422;-3.9386;4.5192;-0.2315;0.41
423;-3.9386;4.5192;-0.1958;0.389
424;-3.922;4.4934;-0.4458;0.522
425;-3.922;4.4934;-0.41;0.491
426;-3.922;4.4934;-0.3743;0.462
427;-3.922;4.4934;-0.3386;0.433
428;-3.922;4.4934;-0.3029;0.406
429;-3.922;4.4934;-0.2672;0.38
430;-3.922;4.4934;-0.2315;0.357
431;-3.922;4.4934;-0.1958;0.336
432;-3.9054;4.4676;-0.4458;0.474
433;-3.9054;4.4676;-0.41;0.442
434;-3.9054;4.4676;-0.3743;0.411
435;-3.9054;4.4676;-0.3386;0.382
436;-3.9054;4.4676;-0.3029;0.354
437;-3.9054;4.4676;-0.2672;0.328
438;-3.9054;4.4676;-0.2315;0.305
439;-3.9054;4.4676;-0.1958;0.285
440;-3.8888;4.4417;-0.4458;0.426
441;-3.8888;4.4417;-0.41;0.393
442;-3.8888;4.4417;-0.3743;0.362
443;-3.8888;4.4417;-0.3386;0.331
444;-3.8888;4.4417;-0.3029;0.303
445;-3.8888;4.4417;-0.2672;0.277
446;-3.8888;4.4417;-0.2315;0.254
447;-3.8888;4.4417;-0.1958;0.235
448;-3.8723;4.4159;-0.4458;0.38
449;-3.8723;4.4159;-0.41;0.346
450;-3.8723;4.4159;-0.3743;0.313
451;-3.8723;4.4159;-0.3386;0.282
452;-3.8723;4.4159;-0.3029;0.253
453;-3.8723;4.4159;-0.2672;0.227
454;-3.8723;4.4159;-0.2315;0.204
455;-3.8723;4.4159;-0.1958;0.186
456;-3.8557;4.3901;-0.4458;0.335
457;-3.8557;4.3901;-0.41;0.3
458;-3.8557;4.3901;-0.3743;0.266
459;-3.8557;4.3901;-0.3386;0.234
460;-3.8557;4.3901;-0.3029;0.204
461;-3.8557;4.3901;-0.2672;0.178
462;-3.8557;4.3901;-0.2315;0.156
463;-3.8557;4.3901;-0.1958;0.14
