T Z1 Z2 Z3 Z4 Z5 Z6 Z7
1139.63024374769 1.36046930322475E-21 4.3530109501461E-16 4.32299412584069E-11 1.48922390074042E-6 0.00201842183227345 0.331580655857208 99.6663994330434
1151.52183224196 1.24653940366462E-21 4.04146216769931E-16 4.06908692998599E-11 1.42194174532124E-6 0.00195051955753106 0.325913431160307 99.6721346272997
1163.53750473426 1.14225994390625E-21 3.75254209380597E-16 3.83039087435482E-11 1.35778926979282E-6 0.00188505643829495 0.320362123697032 99.6777514620371
1175.67855599177 1.04680446774158E-21 3.48458398460106E-16 3.60597769005748E-11 1.29661700515987E-6 0.00182194008729753 0.314924112860442 99.6832526503992
1187.94629429206 9.59418046160854E-22 3.23604550678011E-16 3.3949767450871E-11 1.23828279427916E-6 0.00176108177671953 0.30959684199858 99.688640837908
1200.34204156405 8.79411023803563E-22 3.00549933281006E-16 3.19657140705262E-11 1.18265142624878E-6 0.00170239628754685 0.304377816763601 99.6939186042655
1212.86713353047 8.06153317511141E-22 2.7916244557276E-16 3.00999563896808E-11 1.12959428944751E-6 0.00164580176533923 0.299264603505194 99.6990884651051
1225.52291985177 7.39069217778944E-22 2.59319816783068E-16 2.83453081295097E-11 1.07898904225545E-6 0.00159121958213009 0.294254827707114 99.7041528736934
1238.3107642716 6.77632648329458E-22 2.40908865192722E-16 2.66950272767998E-11 1.03071930053863E-6 0.00153857420418916 0.28934617246564 99.7091142225842
1251.2320447637 6.21362843051982E-22 2.23824813781782E-16 2.51427881639364E-11 9.84674341028253E-7 0.00148779306539165 0.284536377008813 99.7139748452263
1264.28815368043 5.69863910452901E-22 2.07985593592364E-16 2.36841479432329E-11 9.40800108506013E-7 0.00143892935790868 0.279843489637691 99.7187166401806
1277.4804979028 5.22709686831196E-22 1.93293446060305E-16 2.231279368949E-11 8.98972666475597E-7 0.00139186310537368 0.275257504890868 99.7233497330088
1290.81049899207 4.79497393598897E-22 1.79652912178356E-16 2.1022266109481E-11 8.59054224350637E-7 0.00134642830123544 0.270759612306295 99.7278931003172
1304.27959334289 4.39894233896882E-22 1.66987768285842E-16 1.98077210829052E-11 8.20955542707434E-7 0.00130256561045313 0.266347951178636 99.7323486622356
1317.88923233817 4.03595775897974E-22 1.55227382479737E-16 1.86646094176266E-11 7.84591646674724E-7 0.00126021794673113 0.262020703055483 99.7367182943875
1331.64088250539 3.70323512860031E-22 1.44306299652039E-16 1.75886586242508E-11 7.49881617961696E-7 0.00121933038417805 0.257776090724356 99.7410038289923
1345.53602567465 3.39822634935038E-22 1.34163857662985E-16 1.65758558329018E-11 7.1674839721966E-7 0.00117985007254711 0.253612377224935 99.7452070559375
1359.5761591384 3.11859994198058E-22 1.24743832289043E-16 1.56224317796569E-11 6.85118596214979E-7 0.0011417261559089 0.2495278648859 99.749329723824
1373.7627958127 2.86222245996073E-22 1.15994108765583E-16 1.47248457947708E-11 6.54922319317915E-7 0.0011049096946135 0.245520894385747 99.7533735409826
1388.09746440031 2.62714151207002E-22 1.07866377910849E-16 1.38797717291709E-11 6.26092993837051E-7 0.00106935359040502 0.241589843836952 99.7573401764658
